,Unnamed: 0,Unnamed: 0.1,REGION,N_ALL,N_GIVEN,N_EARLY,N_IN,N_OUT,N_LEFT,N_PORTABLE,N_STATIC,N_INVALID,N_VALID,N_LOST,N_UNUSED,BABURIN,GRUDININ,ZHIRINOVSKY,PUTIN,SOBCHAK,SURAYKIN,TITOV,YAVLINSKY,N_VOTED,TURNOUT
52,52,52,Липецкая область,929445,862478,0,592717,78115,191641,78112,592645,6225,664532,5,0,3834,67299,33739,542199,6714,3994,3259,3494,670832,0.7217554562131164
53,53,53,Магаданская область,102626,107633,2417,68365,3018,33833,5434,68345,1108,72671,0,0,417,10364,6185,53341,1007,408,458,491,73800,0.7191160134858613
54,54,54,Московская область,5829578,5210945,0,3540550,166982,1503044,166820,3536668,48150,3655338,377,8,26448,476897,203869,2758911,78893,24523,36133,49664,3707532,0.6359863441230222
55,55,55,Мурманская область,599851,560390,1096,387283,9670,162339,10763,387044,4915,392892,2,0,2827,35240,31434,303796,8931,2578,3426,4660,398049,0.6635797889809303
56,56,56,Нижегородская область,2618865,2458513,403,1595437,132168,730505,132480,1594498,15107,1711871,0,0,12037,183465,111744,1334417,27728,12320,14053,16107,1728008,0.6598308809350616
57,57,57,Новгородская область,502905,479754,0,266259,21925,191569,21925,266137,3448,284614,1,0,2345,36661,22000,209286,5303,2420,2456,4143,288184,0.5730386454698203
58,58,58,Новосибирская область,2159912,2041894,0,1240320,64418,737149,64418,1239841,16625,1287634,9,2,8473,213707,85790,926858,21067,8005,9080,14654,1304738,0.6040699806288404
59,59,59,Омская область,1535403,1500429,0,877613,51132,571682,51130,877350,12487,915993,2,0,10496,189303,57901,624934,14282,5653,5832,7592,928745,0.6048867951931838
60,60,60,Оренбургская область,1518357,1463314,381,934617,68462,459846,68784,934198,10938,992044,8,0,6137,155156,67777,731838,11539,7846,6003,5748,1003460,0.6608854175928323
61,61,61,Орловская область,631300,620855,0,400548,55088,165218,55085,400486,4670,450901,1,0,3210,55482,27617,349743,5777,3187,3187,2698,455636,0.7217424362426739
62,62,62,Пензенская область,1061806,1037724,0,678998,104043,254676,104036,678602,6740,775898,8,1,4616,78135,43823,625928,9048,5614,4037,4697,783041,0.7374614571776765
63,63,63,Псковская область,527477,503638,0,299495,45141,159002,45139,299422,3165,341396,0,0,2952,39407,23688,258584,5794,2782,2656,5533,344636,0.653366876660025
64,64,64,Ростовская область,3210796,2930263,0,1920477,159301,850461,159294,1918992,18200,2060086,26,2,11741,236287,106905,1641189,23036,14121,13046,13761,2079778,0.6477452943133105
65,65,65,Рязанская область,922884,887160,0,536440,64715,286004,64714,536362,5756,595320,1,0,4094,76023,37091,458882,7777,3731,3654,4068,601155,0.6513873899645026
66,66,66,Самарская область,2436024,2272088,0,1522108,107663,642292,107656,1520840,21460,1607036,27,2,10805,189314,98007,1234759,32392,11543,12324,17892,1629771,0.6690291228657845
67,67,67,Саратовская область,1896735,1838300,0,1149182,112030,577062,112026,1148504,10736,1249794,35,9,7436,148585,66254,987373,15067,8326,7485,9268,1261212,0.6649384336768184
68,68,68,Сахалинская область,374297,361348,3359,215721,10059,132208,13418,215637,3942,225113,1,0,1586,41201,20075,153289,3874,1496,1654,1938,229139,0.6121849761018656
69,69,69,Свердловская область,3345221,3166041,3210,2003456,79001,1080366,82161,2003002,27282,2057881,8,0,15154,241365,141683,1555532,44258,13317,19428,27144,2085667,0.6234765954177617
70,70,70,Смоленская область,773021,739888,0,437716,35880,266292,35878,437492,5399,467971,0,0,3894,62351,36894,347859,6724,3519,3304,3426,473596,0.6126560597965643
71,71,71,Тамбовская область,840040,800893,0,532598,72585,195710,72582,532409,5652,599339,0,0,3137,55183,31418,494966,5311,3593,2521,3210,605183,0.7204216465882577
72,72,72,Тверская область,1070221,990731,0,567381,48898,374450,48895,567046,6027,609914,2,0,4718,77050,43421,459198,10144,4902,4846,5635,616279,0.5758427464981531
73,73,73,Томская область,778244,678897,2003,439041,20226,217627,22215,438713,5307,455621,0,0,2976,70163,31466,328296,10091,2757,3986,5886,461270,0.5927061435745088
74,74,74,Тульская область,1194044,1050581,0,730170,89645,230766,89612,728766,8333,810045,0,0,5692,77552,48748,648117,11689,5379,5331,7537,819815,0.6865869264449216
